"","new_cost","area","perimeter","solution","scenario","best_solution","per_circle","fragmentation"
"58",42976956.6715882,358299999991.899,104139999.999597,"r00008",6,"NO",2121916.72575129,49.0782690648356
"59",42306745.2142445,353099999991.349,102599999.999368,"r00009",6,"NO",2106462.7848176,48.7072455012551
"60",40781108.394745,354999999988.726,102839999.99922,"r00010",6,"YES",2112122.52673841,48.690357068455
"61",41288033.0295528,361999999987.629,98279999.9994794,"r00001",7,"NO",2132844.61746339,46.0793061035851
"62",40666194.4186667,357199999990.816,97579999.9990558,"r00002",7,"NO",2118657.02352544,46.0574783532838
"63",40722598.1611663,359499999988.016,97599999.9991225,"r00003",7,"NO",2125467.06295617,45.9193189582422
"64",41046502.8491084,359499999987.607,98219999.9991966,"r00004",7,"NO",2125467.06295496,46.2110195500488
"65",40492732.4476823,360999999988.467,97479999.9991088,"r00005",7,"NO",2129896.66219719,45.7674786430948
"66",41087076.2744592,363799999987.078,97439999.9993833,"r00006",7,"NO",2138140.69446832,45.5723050646173
"67",40220325.6172069,357299999988.327,98199999.9993577,"r00007",7,"YES",2118953.56729775,46.3436299477718
"68",40731395.0390053,360099999986.253,97939999.9991338,"r00008",7,"NO",2127240.0095095,46.0408790551644
"69",41051483.1372029,356999999989.178,98179999.9996288,"r00009",7,"NO",2118063.8114066,46.3536553860613
"70",40982835.0991287,359599999988.248,97699999.999422,"r00010",7,"NO",2125762.65673661,45.9599756773447
"71",41134325.3125433,358699999987.978,94499999.9995955,"r00001",8,"NO",2123100.83114758,44.5103683316426
"72",42043189.7635367,368099999984.721,96739999.9996192,"r00002",8,"NO",2150739.64555304,44.9798748070893
"73",40978945.5443011,357999999987.934,93419999.9998474,"r00003",8,"YES",2121028.21286963,44.0446758006369
"74",41631177.0938075,357999999986.365,94179999.9992578,"r00004",8,"NO",2121028.21286499,44.4029925806804
"75",41558539.0051489,362599999986.89,95079999.9990649,"r00005",8,"NO",2134611.43644503,44.5420643662487
"76",41087088.4863456,360399999984.82,96579999.9990464,"r00006",8,"NO",2128125.92889243,45.3826527311336
"77",41821614.7565579,359399999988.779,94919999.9996556,"r00007",8,"NO",2125171.42806402,44.6646321074085
"78",41043698.043218,357499999987.067,94439999.9995792,"r00008",8,"NO",2119546.53038589,44.5567005232884
"79",41157994.3269427,361299999986.776,94079999.9993662,"r00009",8,"NO",2130781.47701771,44.1528148306614
"80",41312439.355089,360399999988.038,95239999.999399,"r00010",8,"NO",2128125.92890194,44.7529907445565
"81",41379410.9716225,366499999986.075,92919999.9996309,"r00001",9,"NO",2146060.30436883,43.2979445220945
"82",41405914.3116686,364899999985.297,91399999.9991785,"r00002",9,"NO",2141370.73786743,42.6829405963598
"83",41890536.4917738,356599999985.724,90299999.9993693,"r00003",9,"NO",2116876.88846118,42.6571807229711
"84",40598069.8420221,354099999985.672,90339999.9994682,"r00004",9,"YES",2109443.489256,42.826461320057
"85",40766039.207909,360199999986.073,91539999.9994244,"r00005",9,"NO",2127535.35696053,43.0263119717088
"86",41916670.5597885,363299999984.801,92419999.9992925,"r00006",9,"NO",2136670.87872833,43.254204903236
"87",41506246.5300975,361099999986.533,92539999.9994865,"r00007",9,"NO",2130191.64130269,43.4421007975107
"88",40766700.9673333,358999999984.504,92059999.999483,"r00008",9,"NO",2123988.47698386,43.3429846710899
"89",40964665.3507128,360399999985.349,92179999.9990147,"r00009",9,"NO",2128125.928894,43.3151059096025
"90",41413675.380046,362599999982.738,92699999.9992523,"r00010",9,"NO",2134611.4364328,43.4271073494131
"91",41772789.7434435,362599999985.401,88039999.9993783,"r00001",10,"NO",2134611.43644064,41.2440402484588
"92",41797422.1080232,366699999985.378,89659999.9995765,"r00002",10,"NO",2146645.77983927,41.7674871381387
"93",41501065.1895461,363199999983.854,86699999.9992249,"r00003",10,"NO",2136376.79423185,40.582728773928
"94",41701877.04038,363099999985.324,86619999.9994519,"r00004",10,"NO",2136082.66925449,40.5508650232544
"95",41442334.1539817,357499999983.05,86579999.9992637,"r00005",10,"YES",2119546.53037399,40.8483601367256
"96",41627680.3543173,363799999982.466,87739999.9993241,"r00006",10,"NO",2138140.69445477,41.035653185441
"97",41949482.7876152,366699999981.806,88819999.9996591,"r00007",10,"NO",2146645.77982882,41.3761789831679
