id,cost,status
86602,100.344258,0
86603,115.818088,0
86604,159.698616,0
86923,7842.47705,0
86924,103.086631,0
86933,100.781054,0
86935,115.437359,0
86999,234.325714,0
87000,135.779636,0
87152,100.004819,0
87492,106.961024,0
87532,459.589477,0
87815,23223.216796,0
87826,123.727924,0
87889,206.619628,0
87890,133.094833,0
87891,103.353712,0
88423,3196.905517,0
88708,113.286908,0
88709,101.191305,0
88713,198.663398,0
88716,100.789928,0
88717,110.854209,0
88718,100.679602,0
88773,106.617037,0
88779,168.044532,0
88780,129.288835,0
88781,108.840016,0
89314,878.66864,0
89664,107.63618,0
89665,182.897163,0
89666,205.913208,0
89668,170.987022,0
89670,101.417377,0
89671,100.312827,0
89672,101.353869,0
90498,100.383901,0
90499,100.010153,0
90556,100.029666,0
90558,104.028211,0
91389,102.352902,0
91390,101.491899,0
91391,100.004786,0
91985,414.711578,0
91990,102.274441,0
91991,329.905899,0
92876,21649.134765,0
92890,104.909916,0
93171,101.474622,0
93172,102.163924,0
94060,104.23575,0
94061,121.503629,0
94062,114.427096,0
94624,108.229541,0
94899,107.750634,0
94952,100.138792,0
95515,119.388608,0
95789,100.000982,0
95791,101.645925,0
95842,100.533743,0
96680,104.780071,0
96681,107.774583,0
96682,105.793955,0
96683,144.703056,0
96732,108.007056,0
97571,122.617773,0
97572,134.63795,0
97573,100.293265,0
97574,103.182918,0
97621,228.145538,0
98463,175.459442,0
98464,100.160969,0
98465,113.450603,0
98466,121.977588,0
98512,104.264652,0
99354,112.264704,0
99355,145.008346,0
99356,125.872915,0
99357,111.778955,0
99949,681.548889,0
99950,704.697937,0
100245,123.615839,0
100246,163.455299,0
100247,142.018058,0
100248,123.678251,0
100249,126.508434,0
100838,105.346113,0
101136,953.990173,0
101137,167.052345,0
101138,246.350402,2
101139,115.595892,0
101141,131.943689,0
101183,100.378783,0
101311,100.169197,0
101313,6000.785156,0
102028,162.25489,0
102032,125.284589,0
102618,178.926536,0
102920,103.100736,0
102921,100.044224,0
102922,109.568092,0
103084,101.001362,0
103507,49136.972656,0
103811,100.226324,0
103812,105.193383,0
103813,173.779396,0
104703,100.051983,0
104704,107.731673,0
104705,144.068264,0
104746,100.353359,0
104747,100.166235,0
105594,100.049265,0
105595,100.81015,0
105596,121.524438,0
105636,111.20807,0
105637,100.212577,0
105638,100.031697,0
105751,100.020941,0
106485,100.145044,0
106486,101.845156,0
106487,107.668501,0
106525,103.526479,0
106526,119.068351,0
106527,127.928457,0
106528,102.638673,0
107042,147.488697,0
107245,221.387901,0
107377,104.872996,0
107417,100.011524,0
107546,6696.481933,0
107933,149.419013,0
107941,1955.802734,0
108100,101.072711,0
108108,160.58815,0
108268,156.191947,0
108305,672.743164,0
108306,15200.226562,0
108308,110.627334,0
109197,131.112184,0
109198,141.856601,0
109199,111.224153,0
110086,202.020057,0
110087,228.474105,0
110088,143.446071,0
110089,112.842496,0
110977,142.062229,0
110978,145.847702,0
110979,162.566787,0
110980,105.244829,0
111164,118.541194,0
111665,101.120687,0
111672,119.242223,0
111697,200.629295,0
111866,184.424629,0
111867,180.747604,0
111868,126.403535,0
111869,104.442399,0
111870,103.877964,0
111871,112.440047,0
111872,112.025132,0
112055,111.408152,0
112556,187.483421,0
112557,100.247847,0
112588,163.169704,0
112757,185.191802,0
112758,169.374496,0
112759,124.19201,0
112760,100.630756,0
112763,100.647535,0
113447,404.909027,0
113645,183.226013,0
113646,194.798027,0
113647,198.147689,0
113648,172.334991,0
113649,113.002427,0
114338,7114.266601,0
114375,100.052184,0
114531,624.914001,0
114532,190.390106,0
114534,192.217979,0
114535,163.944053,0
114536,150.65797,0
114537,171.325073,0
114538,129.950126,0
114539,125.525705,0
114540,103.648237,0
115229,143.322647,0
115266,102.913118,0
115419,266.479751,0
115420,196.955474,0
115421,183.899696,0
115422,160.480781,0
115423,138.608066,0
115424,147.422466,0
115425,134.234397,0
115426,100.918416,0
115428,100.672317,0
115587,100.125575,0
116142,100.590183,0
116158,129.906597,0
116308,2133.556152,0
116309,124.606403,0
116312,119.616853,0
116313,100.218769,0
116478,106.504064,0
117197,124.42955,0
117198,105.74489,0
117749,102.215571,0
118085,113.393471,0
118086,106.652162,0
118087,101.393486,0
118794,1434.852783,0
118801,175.717292,0
118971,100.35242,0
119857,100.291368,0
120611,107.22811,0
121312,638.948059,0
121474,205.050964,0
121746,105.690479,0
122365,119.380266,0
122390,103.156997,0
122527,105.444393,0
123095,100.358398,0
123212,2100.59729,0
123400,102.518786,0
123401,118.543149,0
123418,124.753923,0
123419,106.279249,0
123525,170.131935,0
124102,2045.33081,0
124147,102.890313,0
124170,100.135608,0
124291,105.764464,0
124292,117.550819,0
124308,102.208594,0
124416,100.6432,0
124984,163.159496,0
124993,16843.988281,0
124994,28037.710937,0
125182,111.475651,0
125183,101.554959,0
125877,100.034333,0
126076,6196.708496,0
126078,101.689997,0
126079,209.530769,0
126961,18815.230468,0
126964,100.001835,0
126965,101.666692,0
126966,111.918745,0
126967,30016.36914,0
126969,120.509698,0
126970,330.735671,0
127663,203.452796,0
127664,101.915895,0
127732,106.698523,0
127852,101.509937,0
127856,101.292785,0
127857,106.381823,0
127858,119.76729,0
127859,4990.746582,0
127860,116.147438,2
127862,100.002601,0
128527,106.950531,0
128528,122.740789,0
128529,100.044211,0
128536,165.11486,0
128537,38053.882812,0
128538,101075.992187,0
128554,135.515235,0
128555,246.425445,0
128590,110.902947,0
128609,101.597613,0
128677,199.050239,0
128678,1591.388183,0
128742,100.003871,0
128748,140.607246,2
128749,118.268888,0
128750,103.380949,2
128751,133.371967,0
128768,100.392697,0
128769,103.211562,0
128770,112.460605,0
128771,101.828055,0
129288,100.04114,0
129332,255.076126,0
129406,101.201277,0
129407,104.36444,0
129419,124.859788,0
129422,109.747273,0
129423,76022.125,0
129424,126211.625,0
129426,12308.161132,0
129429,209.868621,0
129445,239.420364,0
129639,139.85662,0
129640,122.058397,0
129641,100.77298,0
129642,101.84153,2
129643,100.649314,0
129644,100.016507,0
130222,100.554218,0
130223,119.865411,0
130224,114.049912,0
130225,103.037046,0
130309,100.000845,0
