spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
1000500,348,1.10882e+010,0,0,0,6936,0,0,0
1000405,349,6.68662e+008,0,0,0,371,0,0,0
1000404,350,2.77593e+008,0,0,0,175,0,0,0
1000403,351,3.91082e+007,0,0,0,34,0,0,0
1000402,352,1.7533e+008,0,0,0,109,0,0,0
1000401,353,5.34805e+008,0,0,0,317,0,0,0
1000343,354,7.93169e+007,0,0,0,115,0,0,0
1000341,355,1.07948e+009,0,0,0,1014,0,0,0
1000340,356,1.14839e+009,0,0,0,952,0,0,0
1000339,357,8.69106e+007,0,0,0,74,0,0,0
1000338,358,4.76496e+007,0,0,0,62,0,0,0
1000337,359,3.33335e+008,0,0,0,314,0,0,0
1000336,360,9.91471e+007,0,0,0,128,0,0,0
1000335,361,1.01248e+009,0,0,0,891,0,0,0
1000334,362,3.85235e+008,0,0,0,327,0,0,0
1000333,363,1.23412e+009,0,0,0,1173,0,0,0
1000332,364,5.67951e+008,0,0,0,578,0,0,0
1000331,365,1.42063e+007,0,0,0,13,0,0,0
1000328,366,9.82369e+008,0,0,0,1013,0,0,0
1000327,367,6.71136e+008,0,0,0,579,0,0,0
1000326,368,1.58407e+009,0,0,0,1376,0,0,0
1000325,369,2.0288e+008,0,0,0,262,0,0,0
1000324,370,1.08376e+008,0,0,0,147,0,0,0
1000323,371,3.41208e+008,0,0,0,365,0,0,0
1000322,372,4.17554e+007,0,0,0,75,0,0,0
1000321,373,5.76279e+008,0,0,0,561,0,0,0
1000320,374,1.03213e+008,0,0,0,135,0,0,0
1000319,375,7.77529e+006,0,0,0,26,0,0,0
1000318,376,6.99461e+008,0,0,0,716,0,0,0
1000317,377,7.63873e+007,0,0,0,122,0,0,0
1000316,378,1.01073e+009,0,0,0,1003,0,0,0
1000315,379,1.62999e+008,0,0,0,218,0,0,0
1000314,380,5.19471e+006,0,0,0,13,0,0,0
1000309,381,1.04099e+009,0,0,0,710,0,0,0
1000308,382,3.55247e+007,0,0,0,34,0,0,0
1000307,383,8.68758e+006,0,0,0,11,0,0,0
1000306,384,1.77191e+007,0,0,0,27,0,0,0
1000305,385,7.04796e+008,0,0,0,635,0,0,0
1000303,386,3.13833e+007,0,0,0,35,0,0,0
1000302,387,6.90239e+008,0,0,0,707,0,0,0
1000301,388,5.45353e+007,0,0,0,59,0,0,0
1000111,389,7.96263e+006,0,0,0,29,0,0,0
1000110,390,19935,0,0,0,1,0,0,0
1000109,391,1.1545e+007,0,0,0,15,0,0,0
1000108,392,2.35557e+006,0,0,0,9,0,0,0
