id,cost,status
223,248838.000000,0
224,43525351.000000,0
225,58578804.000000,0
226,1038729.000000,0
227,30840305.000000,0
228,21644743.000000,0
229,1252181.000000,0
230,30155486.000000,0
231,1831582.000000,0
232,13303477.000000,0
233,50338338.000000,0
234,46031157.000000,0
235,26569.000000,0
236,690271.000000,0
237,343131.000000,0
238,12789284.000000,0
239,6336597.000000,0
240,3063989.000000,0
241,57142.000000,0
242,175977972.000000,0
243,7235203.000000,0
244,8298860.000000,0
245,690078.000000,0
246,14313954.000000,0
247,2059444.000000,0
248,1812241.000000,0
249,2318069.000000,0
250,351159.000000,0
251,73311574.000000,0
252,10067573.000000,0
253,1614356.000000,0
254,2160015.000000,0
255,36841797.000000,0
256,1612161.000000,0
257,4844522.000000,0
258,225127176.000000,0
259,4797107.000000,0
260,1035112.000000,0
261,70857703.000000,0
262,22352334.000000,0
263,77554.000000,0
264,74353.000000,0
265,14342592.000000,0
266,7095584.000000,0
267,38680689.000000,0
268,6499533.000000,0
269,49547.000000,0
270,8339757.000000,0
271,41410059.000000,0
272,2298662.000000,0
273,145486.000000,0
274,2820927.000000,0
275,80532733.000000,0
276,708555.000000,0
277,21776169.000000,0
278,11236534.000000,0
279,44676011.000000,0
280,1344436.000000,0
281,812972.000000,0
282,8942053.000000,0
283,936756.000000,0
284,5361900.000000,0
285,3053367.000000,0
286,42836391.000000,0
287,8927553.000000,0
288,32786056.000000,0
289,399147.000000,0
290,44491242.000000,0
291,6363641.000000,0
292,1411449.000000,0
293,167261707.000000,0
294,36197.000000,0
295,151016516.000000,0
296,4859135.000000,0
297,112268070.000000,0
298,818236.000000,0
299,1027695.000000,0
300,18486123.000000,0
301,21521580.000000,0
302,3263402.000000,0
303,3135916.000000,0
304,30634629.000000,0
305,16227352.000000,0
306,2456045.000000,0
307,50564003.000000,0
308,9888243.000000,0
309,17502770.000000,0
310,5510590.000000,0
311,4011556.000000,0
312,2103523.000000,0
313,10465650.000000,0
314,25833969.000000,0
315,274338661.000000,0
316,167179.000000,0
317,1619584.000000,0
318,3074003.000000,0
319,8772511.000000,0
320,4349763.000000,0
321,1856024.000000,0
322,1881272.000000,0
323,3699799.000000,0
324,51073599.000000,0
325,264269.000000,0
326,19472930.000000,0
327,424177.000000,0
328,27403189.000000,0
329,4846762.000000,0
330,38930600.000000,0
331,710454.000000,0
332,6545833.000000,0
333,6382879.000000,0
334,93778667.000000,0
335,51408.000000,0
336,234972.000000,0
337,5247301.000000,0
338,469790.000000,0
339,728719.000000,0
340,1748768.000000,0
341,457743.000000,0
342,1448812.000000,0
343,2778299.000000,0
344,39123477.000000,0
345,1508484.000000,0
346,532863.000000,0
347,961580.000000,0
348,48203.000000,0
349,2773917.000000,0
350,99191.000000,0
351,59295924.000000,0
352,25348100.000000,0
353,35390473.000000,0
354,1623978.000000,0
