species,pu,amount
4656,2274,130276
4673,2274,224761
4625,2274,447472
4672,2274,554010
4655,2276,2026
4673,2276,2026
4655,2277,3719
4673,2277,3719
2000004,2332,5802
2000820,2332,7430
4616,2332,57531
4670,2332,57531
4643,2332,200606
4672,2332,200606
2000101,2332,209112
2000500,2332,233179
2000729,2332,236110
2000305,2332,243541
4618,2333,5393
2000024,2333,7447
4610,2333,41349
4670,2333,46742
2000004,2333,52730
4641,2333,79468
2000005,2333,119465
4643,2333,202973
4672,2333,282441
2000729,2333,847950
2000305,2333,847965
2000500,2333,935360
2000500,2334,2000000
2000892,2334,2000000
2000305,2334,2000000
2000706,2335,3042
2000797,2335,13339
2000915,2335,35908
2000795,2335,47771
2000704,2335,80339
2000913,2335,114758
2000892,2335,247117
2000305,2335,270314
2000859,2335,1457724
2000302,2335,1729686
2000500,2335,2000000
2000704,2336,28864
2000913,2336,52196
2000305,2336,733303
2000915,2336,754470
2000859,2336,1164470
2000302,2336,1266697
2000500,2336,2000000
2000795,2337,642
2000704,2337,15140
2000305,2337,117139
2000302,2337,1875229
2000859,2337,1976587
2000500,2337,1994221
2000795,2338,3250
2000706,2338,6469
2000004,2338,39546
2000704,2338,74978
2000305,2338,381169
2000915,2338,499276
2000859,2338,547774
2000302,2338,750578
2000500,2338,842433
2000797,2339,8248
2000101,2339,23471
2000706,2339,80989
2000005,2339,82973
2000034,2339,463991
2000500,2339,899091
2000861,2339,1112863
2000305,2339,1202106
2000859,2340,8187
2000797,2340,11427
2000704,2340,12010
2000795,2340,24800
2000706,2340,32619
2000861,2340,540876
2000500,2340,551372
2000305,2340,629924
2000795,2341,36704
2000704,2341,40276
2000915,2341,121042
2000861,2341,185553
2000500,2341,906073
2000859,2341,1111757
2000305,2341,1495333
2000795,2342,15316
2000704,2342,69308
2000110,2342,138456
2000500,2342,1344889
2000859,2342,1582124
2000305,2342,1666776
2000797,2343,24015
2000706,2343,39875
2000861,2343,1755977
2000500,2343,1799562
2000305,2343,1819866
2000500,2344,2000000
2000861,2344,2000000
2000305,2344,2000000
2000821,2345,2577
2000704,2345,7650
2000730,2345,9188
2000795,2345,10584
2000034,2345,24653
2000859,2345,115514
2000938,2345,307747
2000500,2345,393160
2000307,2345,453260
2000730,2346,993
2000706,2346,8328
2000004,2346,12972
2000797,2346,26359
2000859,2346,115013
2000938,2346,494720
2000307,2346,760450
2000305,2346,1161704
2000861,2346,1276740
2000500,2346,1814886
4608,2347,722
4670,2347,722
2000305,2347,11241
2000730,2347,11466
4634,2347,76704
4672,2347,76704
2000034,2347,109564
2000913,2347,571978
2000938,2347,580653
2000339,2347,1152860
2000500,2347,1176382
2000913,2348,666
2000730,2348,11831
2000500,2348,189771
2000938,2348,225721
2000339,2348,238217
4634,2348,238247
4672,2348,238247
2000797,2349,1
2000821,2349,1
2000938,2349,682
2000730,2349,3544
2000706,2349,11931
2000952,2349,14428
4610,2349,74684
4670,2349,74684
4634,2349,80697
4672,2349,80697
2000861,2349,235011
2000500,2349,241540
2000305,2349,265604
2000917,2350,194265
2000861,2350,542817
2000913,2350,558723
2000305,2350,610899
2000863,2350,704195
2000339,2350,1389101
2000500,2350,1991803
2000730,2351,2903
2000307,2351,14638
2000704,2351,17574
2000024,2351,177753
2000938,2351,240371
2000500,2351,1349222
2000913,2351,1663071
2000339,2351,1909284
2000706,2352,1816
4601,2352,18584
4633,2352,21235
2000730,2352,24075
2000915,2352,32403
4608,2352,60188
4610,2352,72765
2000938,2352,150902
4670,2352,151537
4634,2352,206836
2000500,2352,207205
2000307,2352,209196
4672,2352,228071
2000704,2354,8328
2000915,2354,30510
2000913,2354,59581
2000339,2354,185348
2000861,2354,720331
2000859,2354,1181250
2000305,2354,1814652
2000500,2354,1953514
2000797,2355,10230
2000706,2355,24024
4642,2355,79142
4643,2355,149727
4672,2355,228869
2000915,2355,887063
2000500,2355,916176
2000305,2355,921319
2000820,2360,15774
2000848,2360,29362
4643,2360,101544
4672,2360,101544
2000757,2360,178715
2000729,2360,1288050
2000305,2360,1511913
2000500,2360,1542368
2000938,2361,30806
2000056,2361,165061
2000917,2361,310356
2000305,2361,508482
2000307,2361,1479868
2000729,2361,1647188
2000500,2361,1993758
2000952,2362,5829
2000708,2362,6844
2000730,2362,42800
4637,2362,60849
4672,2362,60849
4619,2362,347637
4671,2362,347637
2000938,2362,391509
2000917,2362,1103754
2000307,2362,1550737
2000500,2362,1558383
2000917,2363,69
2000744,2363,747
2000938,2363,63434
2000952,2363,63441
4637,2363,64913
4672,2363,64913
4601,2363,128542
4670,2363,128542
2000729,2363,138393
2000500,2363,230884
2000307,2363,266092
2000110,2363,313115
4619,2363,1287761
4671,2363,1287761
2000820,2364,35
2000757,2364,9497
4601,2364,11684
4670,2364,11684
2000965,2364,27491
2000730,2364,28556
2000110,2364,34828
4637,2364,118738
4672,2364,118738
2000729,2364,247547
2000035,2364,365807
2000938,2364,502929
2000500,2364,568860
2000033,2364,680867
2000307,2364,816074
4619,2364,999679
4671,2364,999679
4642,2365,77981
4672,2365,77981
2000706,2366,406
2000820,2366,861
4624,2366,1296
4625,2366,40990
4672,2366,42286
2000056,2366,83199
4619,2366,167413
4671,2366,167413
2000892,2366,304449
2000305,2366,381259
2000307,2366,1117646
2000729,2366,1193156
2000500,2366,1387627
2000706,2367,2728
2000730,2367,14051
4626,2367,19251
4637,2367,29663
2000110,2367,58600
2000307,2367,71161
2000056,2367,104426
2000938,2367,157759
4625,2367,221622
4672,2367,270536
2000892,2367,344742
2000305,2367,448124
2000500,2367,600324
4619,2367,1021149
4671,2367,1021149
4656,2368,9051
4637,2368,31341
4672,2368,31341
2000110,2368,44596
2000938,2368,73896
2000314,2368,73902
4655,2368,117874
4657,2368,542071
4619,2368,556014
4671,2368,556014
4673,2368,668996
4656,2369,125256
4655,2369,149195
4657,2369,218934
4619,2369,452126
4671,2369,452126
4673,2369,493385
4657,2370,70
4656,2370,22020
4655,2370,51581
4673,2370,73671
2000938,2371,27963
2000307,2371,27963
4655,2371,94156
4657,2371,506562
4619,2371,513848
4671,2371,513848
4673,2371,600718
2000820,2427,1828
4643,2427,109934
4672,2427,109934
2000101,2427,377948
2000005,2427,548362
2000004,2427,659925
2000729,2427,988176
2000305,2427,990004
2000500,2427,1104783
2000820,2428,15539
4641,2428,18877
4643,2428,228824
4672,2428,247701
2000024,2428,261432
2000004,2428,445235
2000005,2428,601537
2000729,2428,890022
2000305,2428,905589
2000500,2428,915387
2000797,2429,6804
2000706,2429,58633
2000729,2429,449929
2000892,2429,1484634
2000500,2429,2000000
2000305,2429,2000000
2000859,2430,16974
2000302,2430,211217
2000305,2430,1788783
2000892,2430,1983026
2000500,2430,2000000
2000859,2431,3471
2000704,2431,8328
2000004,2431,43772
2000892,2431,65952
2000005,2431,93432
2000090,2431,398357
2000915,2431,452640
2000305,2431,685775
2000302,2431,1314225
2000913,2431,1469609
2000500,2431,2000000
2000704,2432,928
2000915,2432,25900
2000913,2432,624855
2000302,2432,831429
2000305,2432,1168571
