"new_cost","area_m2","perimeter_m","solution","iteration","scenario","best_solution","per_circle_m","fragmentation_m"
3466665260,502281243968.603,16593760.5498481,"r00001",6,5,"NO",2512339.99776121,6.60490242747203
3288267924,506573119955.745,16995386.8315769,"r00002",6,5,"NO",2523050.8454322,6.73604610955258
3299958609,504935588933.99,17305020.9015982,"r00003",6,5,"NO",2518969.58038882,6.86988085776211
3263693408,504921285418.554,16467225.4578872,"r00004",6,5,"YES",2518933.90219914,6.53737894571611
3313935130,504516844637.539,17272014.8405314,"r00005",6,5,"NO",2517924.86998766,6.8596227974888
3348019206,504353084965.661,17463532.6967389,"r00006",6,5,"NO",2517516.19382555,6.93681047199216
3287550373,501931624262.464,17334693.5598674,"r00007",6,5,"NO",2511465.47130344,6.90222253020696
3331631056,513607448073.063,17484274.8493974,"r00008",6,5,"NO",2540508.12688748,6.88219599234991
3322642310,595695328619.729,16812463.4119725,"r00009",6,5,"NO",2736005.89777836,6.14489297176742
3398721400,504338421266.458,16544673.0288282,"r00010",6,5,"NO",2517479.59608318,6.57191941280049
3900791282,564934450937.238,14455520.5468127,"r00001",6,6,"NO",2664427.83413191,5.42537514495017
3993300493,500664413929.711,14847848.0688345,"r00002",6,6,"NO",2508293.16047022,5.91950267330434
4083913440,516028307993.925,14461218.4653739,"r00003",6,6,"NO",2546488.35963417,5.67888653826454
3685607907,508693339461.81,13436498.2151806,"r00004",6,6,"YES",2528325.34155182,5.31438656028881
4110110861,521338481721.918,15214872.3384583,"r00005",6,6,"NO",2559557.10560342,5.94433791109787
4113788199,505589921503.886,15501680.4347771,"r00006",6,6,"NO",2520601.184738,6.14999331454668
3955222750,503820924409.078,14836931.3833453,"r00007",6,6,"NO",2516187.68365826,5.89659168896893
4202983282,501270458611.13,14600117.1516567,"r00008",6,6,"NO",2509810.8217428,5.8172181844042
3918147891,503397283641.799,15122530.9347337,"r00009",6,6,"NO",2515129.58562865,6.01262496419397
3853083828,504669411759.046,15108491.4097341,"r00010",6,6,"NO",2518305.55451375,5.99946713481768
4309863656,538776601348.028,13364264.6720433,"r00001",6,7,"NO",2602012.00052655,5.13612722360192
4220897686,603261175400.193,14277333.1996762,"r00002",6,7,"NO",2753325.89922311,5.18548610744002
4325496986,535474438653.497,14484076.3429248,"r00003",6,7,"NO",2594025.87701738,5.58362831737771
3991164197,500795820852.341,15762208.5440046,"r00004",6,7,"NO",2508622.3085496,6.28321309680043
4330775213,502372733532.762,12934928.1885015,"r00005",6,7,"YES",2512568.79629621,5.1480891618048
4016794147,508158988418.54,13551229.2389199,"r00006",6,7,"NO",2526997.06756562,5.36258209906611
4284236007,588519362800.89,13988783.7372066,"r00007",6,7,"NO",2719476.498645,5.1439252165542
4542609078,500555644714.237,14575905.8436673,"r00008",6,7,"NO",2508020.68264769,5.81171676314871
4641961477,526647945633.583,14666606.308757,"r00009",6,7,"NO",2572557.72882213,5.70117674889737
4246811589,606967268648.993,13974191.2239483,"r00010",6,7,"NO",2761770.38303849,5.05986714528165
7024715344,526020058217.004,13538369.7105261,"r00001",6,8,"NO",2571023.72648361,5.26575059229131
6481461087,501922011474.828,13712827.5791427,"r00002",6,8,"NO",2511441.42191239,5.46014231488657
5699317170,591901283226.774,13730711.9596091,"r00003",6,8,"NO",2727279.02718853,5.03458275545928
6765814254,648598681136.157,13302343.3524434,"r00004",6,8,"NO",2854913.55510837,4.65945574031172
6465690201,504485291342.638,12453013.5857318,"r00005",6,8,"YES",2517846.131221,4.94589936665146
7151060831,516413831580.35,13272005.7619148,"r00006",6,8,"NO",2547439.41989205,5.20993969798789
7684537099,552267964325.731,12570072.3414781,"r00007",6,8,"NO",2634388.71811941,4.77153286264126
