id,name,prop,spf
2000035,Disasteraffectedarea,0,100
2000036,Floodways,0,100
2000037,Resettlementareafromnaturaldisaster,0,100
2000038,Guesthouse,0,100
2000039,Surfingsite,0,100
2000040,Touristtracks,0.5,100
2000041,Tourismcoralreefs,0.5,100
2000042,Tourismforest,0.5,100
2000043,Gamefishingsite,0.5,100
2000046,Fishingzonefreshwater,0,100
2000047,Fishingzonesmarine,0,100
2000048,HuntingZone,0,100
2000049,Megapodeeggs,0,100
2000050,Nontimberbuildingmaterialforest,0,100
2000051,Forestvirginuntouched,0.5,100
2000052,Balsawoodlots,0,100
2000053,Bambooforest,0,100
2000055,Forestplanationreforestation,0.3,100
2000055,Forestplanationreforestation,0.3,100
2000056,Loggingcurrent,0,100
2000057,LoggingexpiredTRPFMA,0,100
2000060,Reforestationproposed,0.3,100
2000062,Powerstationexisting,0,100
2000063,Solarpowerplantproposed,0,100
2000064,Hydroelectricpowerproposed,0,100
2000065,Reservoirwatersupply,0,100
2000067,Roadsproposed,0,100
2000068,Digicelltower,0,100
2000070,Markets,0,100
2000071,Fishmarket,0,100
2000072,Jettiesexisting,0,100
2000073,Jettiesproposed,0,100
2000074,Wharfexisting,0,100
2000075,Wharfproposed,0,100
2000076,ResourceCentreexisting,0,100
2000077,ResourceCentreproposed,0,100
2000078,BiologicalResearchStaion,0.5,100
2000079,Miningcurrent,0,100
2000080,Miningproposed,0,100
2000082,Miningsmallscalealluvial,0,100
2000085,Tuna,0.5,100
2000086,Bechedemerreef,0,100
2000088,Clams,0,100
2000089,MissionStations,0,100
2000090,Villagesmissingnameslocation,0,100
2000092,Freshwaterlake,0.7,100
2000093,Hotspring,0.3,100
2000095,Waterfall,0.3,100
2000096,Volcano,0,100
2000098,Caves,0.3,100
2000101,Churchland,0,100
2000102,PandanusKaruka,0.3,100
2000103,PandanusMarita,0.3,100
2000104,Sagopalmareaswamp,0.3,100
2000106,Turtlenestingbeachmarine,0.5,100
2000107,BirdSanctuary,0.5,100
2000108,Cassowaryhabitat,0.5,100
2000109,CusCushabitat,0.5,100
2000110,Dugonghabitat,0.5,100
2000111,Crocodilebreedinggrounds,0.5,100
2000113,Dolphins,0.5,100
2000302,CompositeAlluvialPlains,0.17,100
2000304,UndifferentiatedAlluvialPlains,0.17,100
2000305,CoastalBeachSandFlats,0.17,100
2000306,CoastalCoralFlats,0.17,100
2000307,MangrovesFlats,0.17,100
2000309,CoastalplainswithNofloodingorinundation,0.17,100
2000311,AcidIgneousFoothillswithSlope1020,0.17,100
2000312,AcidIgneousFoothillswithSlope25,0.17,100
2000313,AcidIgneousFoothillswithSlope510,0.17,100
2000314,LimestoneFoothillswithSlope20,0.17,100
2000315,LimestoneFoothillswithSlope20,0.17,100
2000316,LimestoneFoothillswithSlope1020,0.17,100
2000317,LimestoneFoothillswithSlope25,0.17,100
2000318,LimestoneFoothillswithSlope510,0.17,100
2000319,OtherFoothillswithSlope2,0.17,100
2000320,OtherFoothillswithSlope20,0.17,100
2000321,OtherFoothillswithSlope1020,0.17,100
2000322,OtherFoothillswithSlope25,0.17,100
2000323,OtherFoothillswithSlope510,0.17,100
2000324,VolcanicFoothillswithSlope2,0.17,100
2000325,VolcanicFoothillswithSlope20,0.17,100
2000326,VolcanicFoothillswithSlope1020,0.17,100
2000327,VolcanicFoothillswithSlope25,0.17,100
2000328,VolcanicFoothillswithSlope510,0.17,100
2000329,random,0.17,100
2000330,Lakes,0.17,100
2000332,LimestoneRidgeswithSlope20,0.17,100
2000333,LimestoneRidgeswithSlope1020,0.17,100
2000334,LimestoneRidgeswithSlope25,0.17,100
2000335,LimestoneRidgeswithSlope510,0.17,100
2000336,OtherRidgeswithSlope20,0.17,100
2000337,OtherRidgeswithSlope1020,0.17,100
2000339,LeveeplainRiverValleys,0.17,100
2000340,VolcanicRidgeswithSlope20,0.17,100
2000341,VolcanicRidgeswithSlope1020,0.17,100
2000342,VolcanicRidgeswithSlope25,0.17,100
2000343,VolcanicRidgeswithSlope510,0.17,100
2000344,UndifferentiatedWetlands,0.17,100
2000345,WetlandswithBackswamps,0.17,100
2000403,Platymantismamusiorum,0.5,100
2000404,Platymantisnakanaiorum,0.5,100
