id,prop,spf,name
272,0.2,0.08,Fis-29589_surface.grd
273,0.2,0.08,Fis-29592_surface.grd
274,0.2,0.08,Fis-29593_surface.grd
275,0.2,0.08,Fis-29682_surface.grd
276,0.2,0.08,Fis-29684_surface.grd
277,0.2,0.08,Fis-29686_surface.grd
278,0.2,0.08,Fis-29738_surface.grd
279,0.2,0.08,Fis-29753_surface.grd
280,0.2,0.08,Fis-29764_surface.grd
281,0.2,0.08,Fis-30017_surface.grd
282,0.2,0.08,Fis-30018_surface.grd
283,0.2,0.08,Fis-30019_surface.grd
284,0.2,0.08,Fis-30020_surface.grd
285,0.2,0.08,Fis-30039_surface.grd
286,0.2,0.08,Fis-30094_surface.grd
287,0.2,0.08,Fis-30248_surface.grd
288,0.2,0.08,Fis-30255_surface.grd
289,0.2,0.08,Fis-30306_surface.grd
290,0.2,0.08,Fis-30320_surface.grd
291,0.2,0.08,Fis-30518_surface.grd
292,0.2,0.08,Fis-30555_surface.grd
293,0.2,0.08,Fis-30583_surface.grd
294,0.2,0.08,Fis-30592_surface.grd
295,0.2,0.08,Fis-30611_surface.grd
296,0.2,0.08,Fis-30627_surface.grd
297,0.2,0.08,Fis-30651_surface.grd
298,0.2,0.08,Fis-30680_surface.grd
299,0.2,0.08,Fis-30687_surface.grd
300,0.2,0.08,Fis-30688_surface.grd
301,0.2,0.08,Fis-30696_surface.grd
302,0.2,0.08,Fis-30699_surface.grd
303,0.2,0.08,Fis-30708_surface.grd
304,0.2,0.08,Fis-30710_surface.grd
305,0.2,0.08,Fis-30713_surface.grd
306,0.2,0.08,Fis-30734_surface.grd
307,0.2,0.08,Fis-30751_surface.grd
308,0.2,0.08,Fis-30758_surface.grd
309,0.2,0.08,Fis-30760_surface.grd
310,0.2,0.08,Fis-31012_surface.grd
311,0.2,0.08,Fis-31017_surface.grd
312,0.2,0.08,Fis-31024_surface.grd
313,0.2,0.08,Fis-31025_surface.grd
314,0.2,0.08,Fis-31054_surface.grd
315,0.2,0.08,Fis-31140_surface.grd
316,0.2,0.08,Fis-31187_surface.grd
317,0.2,0.08,Fis-31205_surface.grd
318,0.2,0.08,Fis-31224_surface.grd
319,0.2,0.08,Fis-31247_surface.grd
320,0.2,0.08,Fis-31577_surface.grd
321,0.2,0.08,Fis-31595_surface.grd
322,0.2,0.08,Fis-31597_surface.grd
