"new_cost","area_m2","perimeter_m","solution","iteration","scenario","best_solution","per_circle_m","fragmentation_m"
4894.36258504373,11316000000.0097,15350555.1555557,"r00088",8,1,"NO",377095.544752533,40.7073362949155
4889.69371437105,11294000000.008,15128138.6947162,"r00089",8,1,"NO",376728.80128638,40.1565758791459
4684.90455833703,11274000000.0119,15390759.0105335,"r00090",8,1,"NO",376395.088047699,40.8899039845681
4693.82425608786,11332000000.0114,15317708.121234,"r00091",8,1,"NO",377362.043404026,40.5915443510411
4907.83422160123,11290000000.0085,15294747.6851049,"r00092",8,1,"NO",376662.082291571,40.6060190398072
4851.93557039993,11296000000.0082,15197289.9551349,"r00093",8,1,"NO",376762.156353189,40.3365616712536
4839.66919921247,11286000000.0087,15318478.5345763,"r00094",8,1,"NO",376595.351476578,40.6762284093915
4629.09777725939,11282000000.0089,15233214.243432,"r00095",8,1,"YES",376528.608835121,40.4569902153239
4676.95436227438,11274000000.0098,15284987.5991322,"r00096",8,1,"NO",376395.088047663,40.6088923168856
4797.3094188117,11306000000.0119,15361448.2963416,"r00097",8,1,"NO",376928.887412591,40.7542345766848
4753.98562290795,11306000000.0095,15211922.8313558,"r00098",8,1,"NO",376928.887412551,40.357540478733
4787.96220669151,11296000000.009,15335736.3893982,"r00099",8,1,"NO",376762.156353201,40.7040254197438
4908.60520642104,11298000000.0075,15357853.2150987,"r00100",8,1,"NO",376795.508467291,40.7591196550367
4995.37107573093,13913999999.9967,8519752.0785092,"r00001",8,10,"NO",418148.873881243,20.3749253212837
5069.47528580341,13783999999.9976,8431981.48215828,"r00002",8,10,"NO",416190.88474917,20.2598898513601
4950.99845971555,13911999999.9927,8660223.37623825,"r00003",8,10,"NO",418118.820416964,20.7123500626017
4951.37245956654,13831999999.9974,8820855.73905071,"r00004",8,10,"NO",416914.905391717,21.1574487382815
4999.06679949121,13933999999.9978,8838659.67093939,"r00005",8,10,"NO",418449.289807563,21.1224152752276
4936.22963692468,14333999999.9979,8983172.5620302,"r00006",8,10,"NO",424412.955016924,21.1661129940578
4969.67206287016,13831999999.9957,8583379.94614962,"r00007",8,10,"NO",416914.905391691,20.5878461891055
4890.21740351639,13925999999.9928,8711212.44993304,"r00008",8,10,"NO",418329.149325594,20.8238236899742
5050.64203798514,14325999999.9957,8967657.52214622,"r00009",8,10,"NO",424294.503171153,21.135455338503
4961.14111593178,13743999999.9985,8624790.25264036,"r00010",8,10,"NO",415586.570672988,20.7532939254357
5074.92842650752,13703999999.9949,8796372.05154473,"r00011",8,10,"NO",414981.376569014,21.1970284649191
4880.34538263959,13519999999.9983,8709068.1491719,"r00012",8,10,"NO",412186.038950999,21.1289741189105
4914.57627757404,13797999999.9928,9056190.44151768,"r00013",8,10,"NO",416402.187478448,21.7486620239871
4989.06544848979,13613999999.9959,8304732.45034385,"r00014",8,10,"NO",413616.452216101,20.0783416758405
4966.80633180688,13505999999.9965,8428165.352267,"r00015",8,10,"NO",411972.573744285,20.4580738850311
4923.94405980782,13769999999.9949,8723819.17321939,"r00016",8,10,"NO",415979.474685545,20.9717539064014
4975.85901838342,14067999999.9924,8622228.99397821,"r00017",8,10,"NO",420456.539731171,20.5068257458691
4965.66090996126,14139999999.9941,8923673.42174561,"r00018",8,10,"NO",421531.114494487,21.1696672319128
4926.75416071028,14315999999.9966,8758856.04164275,"r00019",8,10,"NO",424146.39184499,20.650549456622
5016.55093212344,13713999999.9945,8765363.0751543,"r00020",8,10,"NO",415132.757807972,21.1146022815402
4955.35312752797,13507999999.9982,8551167.3421225,"r00021",8,10,"NO",412003.075545245,20.7551056040198
4954.55469645241,13537999999.9956,8698675.63019078,"r00022",8,10,"NO",412460.331883127,21.08972659377
4885.81134958877,13701999999.9943,8852830.58629291,"r00023",8,10,"NO",414951.093694037,21.3346361073108
5074.86408822691,14029999999.9955,8804047.84975898,"r00024",8,10,"NO",419888.294334818,20.9675953546318
4890.5288879973,13793999999.9927,8637942.03446215,"r00025",8,10,"NO",416341.826213004,20.7472357822702
4908.61098887342,13723999999.9938,8775703.1671223,"r00026",8,10,"NO",415284.083864752,21.1318071365825
4933.4497020594,13343999999.9914,8383497.14999362,"r00027",8,10,"NO",409494.382718373,20.4728013467265
4979.86330523341,13739999999.9954,8567002.02928379,"r00028",8,10,"NO",415526.090927197,20.6172421331415
4939.23227562305,14351999999.992,8754984.93461995,"r00029",8,10,"NO",424679.350872141,20.6155183119695
5122.91915835593,13669999999.9951,8707856.41833081,"r00030",8,10,"NO",414466.266779612,21.0098073505247
4904.67322731719,13699999999.9941,8756235.39037851,"r00031",8,10,"NO",414920.808608879,21.103389390703
5047.51988486034,14063999999.9968,8993615.23013636,"r00032",8,10,"NO",420396.760596829,21.3931601598649
4881.27891088217,14155999999.9923,9051984.10289983,"r00033",8,10,"NO",421769.537089596,21.4619200935247
4981.62379274206,13881999999.9941,8915498.07640781,"r00034",8,10,"NO",417667.758952567,21.3459092431894
4948.20611256604,14085999999.9972,8822133.86586292,"r00035",8,10,"NO",420725.440725692,20.9688623788616
4938.7350181523,13667999999.9939,8503168.08965716,"r00036",8,10,"NO",414435.946265505,20.5174482722347
4802.82766416476,13655999999.9952,8582812.27431662,"r00037",8,10,"YES",414253.976576724,20.7187203011122
4964.27656252052,13685999999.9964,8680032.04247307,"r00038",8,10,"NO",414708.751086921,20.9304289328917
5072.3384537342,12751999999.9991,8382297.65520126,"r00039",8,10,"NO",400307.829144393,20.9396295673691
5012.67158286398,14209999999.9953,9293320.15832238,"r00040",8,10,"NO",422573.220199748,21.9922127434613
4976.91930002201,13893999999.9961,8742921.34160765,"r00041",8,10,"NO",417848.241968131,20.9236762620494
5051.24194983117,13717999999.9946,8692871.34226112,"r00042",8,10,"NO",415193.294849172,20.9369261259843
4882.78378099437,13877999999.9922,8772240.71789121,"r00043",8,10,"NO",417607.580613641,21.0059422412809
5016.17345307346,13615999999.9918,8762180.13267722,"r00044",8,10,"NO",413646.832799445,21.1827564915154
4961.2179229033,13519999999.9964,8929373.4024612,"r00045",8,10,"NO",412186.03895097,21.6634542625141
4850.3100940785,14121999999.996,8626249.874061,"r00046",8,10,"NO",421262.72777915,20.477125805878
4982.0844437984,13641999999.9971,8721670.13609438,"r00047",8,10,"NO",414041.577527005,21.0647205727196
5014.25735934643,12939999999.9971,8293046.33808872,"r00048",8,10,"NO",403247.858952495,20.5656301799873
4983.02903680671,14733999999.9969,9426528.6124742,"r00049",8,10,"NO",430293.974663752,21.9071824555304
4804.55627970823,13769999999.9914,8602649.06989518,"r00050",8,10,"NO",415979.474685491,20.6804652474725
4907.74601972028,13775999999.9906,8536170.47946442,"r00051",8,10,"NO",416070.092151903,20.5161837884467
4926.70248046688,14193999999.9976,9124025.96231716,"r00052",8,10,"NO",422335.251311305,21.6037518392984
4949.47357720768,13913999999.9954,8546848.97019635,"r00053",8,10,"NO",418148.873881224,20.439727341282
4937.27245741178,12971999999.9974,8490776.57454854,"r00054",8,10,"NO",403746.157392778,21.0299873301046
4923.04734279105,13769999999.9957,8424190.2824328,"r00055",8,10,"NO",415979.474685557,20.2514566104511
4868.28024203104,13993999999.9965,8511909.26974267,"r00056",8,10,"NO",419349.246305867,20.297900484443
4908.83596317486,13913999999.9902,8826487.34091928,"r00057",8,10,"NO",418148.873881145,21.108480477286
5068.45012156253,14065999999.9942,8854375.16540884,"r00058",8,10,"NO",420426.651226469,21.0604516616129
5225.01164966037,13775999999.9937,8821202.93354853,"r00059",8,10,"NO",416070.092151951,21.2012425308546
5005.2855192038,14245999999.9971,8876104.52204224,"r00060",8,10,"NO",423108.16084321,20.9783344862767
4972.85497943504,14221999999.9895,8864317.67965518,"r00061",8,10,"NO",422751.608958836,20.9681465234076
5136.92142705524,14469999999.996,9142723.03255581,"r00062",8,10,"NO",426421.602161203,21.4405719274502
4947.02749742094,13603999999.9965,8648455.51509847,"r00063",8,10,"NO",413464.515814474,20.9170441097275
4975.93480974392,13673999999.9958,8475103.22776185,"r00064",8,10,"NO",414526.90115443,20.445243008739
5036.40363265466,13747999999.9968,8828918.50321997,"r00065",8,10,"NO",415647.041618451,21.2413842014654
4963.16406225032,13591999999.992,8713150.85199046,"r00066",8,10,"NO",413282.118401304,21.0828159846244
4920.47020340833,13659999999.9963,8626032.7536991,"r00067",8,10,"NO",414314.642019926,20.8200046024061
4898.98885171866,14227999999.9973,8761746.62232414,"r00068",8,10,"NO",422840.775116435,20.7211488057448
4846.16146959117,14157999999.9935,8640173.21739461,"r00069",8,10,"NO",421799.330438084,20.4840847149304
4988.9111135651,13657999999.9966,8596287.06652746,"r00070",8,10,"NO",414284.310408775,20.7497287503972
4847.58727218095,13901999999.9966,8995940.70655072,"r00071",8,10,"NO",417968.520681615,21.5230101345439
4876.40742277407,13731999999.995,8761749.28898669,"r00072",8,10,"NO",415405.105019567,21.0920597342538
4933.9670103575,13815999999.9964,8753073.6173121,"r00073",8,10,"NO",416673.704963418,21.0070218327806
4925.51660764995,13641999999.9916,8700624.29164445,"r00074",8,10,"NO",414041.577526922,21.0138903044797
5050.10779885116,13741999999.9945,8947716.7148615,"r00075",8,10,"NO",415556.331900326,21.5318983925569
4959.42214536756,14057999999.9969,8632662.94325675,"r00076",8,10,"NO",420307.075953549,20.5389426853494
4906.27574004732,13993999999.9907,8670290.51055175,"r00077",8,10,"NO",419349.24630578,20.6755838645995
5122.61644646066,14073999999.9983,8702301.27101153,"r00078",8,10,"NO",420546.192500264,20.6928547355855
4882.83612523342,14375999999.9944,9198586.72145578,"r00079",8,10,"NO",425034.285619357,21.6419875588428
4889.46779461407,13817999999.9897,8550070.78390322,"r00080",8,10,"NO",416703.862651986,20.5183382018321
4939.22313046041,14165999999.9947,8940784.60311795,"r00081",8,10,"NO",421918.48279371,21.1907867697974
4863.62199636307,14123999999.9945,8891778.89458825,"r00082",8,10,"NO",421292.556968599,21.1059482241244
4994.62774392498,13651999999.9974,8445786.10653726,"r00083",8,10,"NO",414193.302248116,20.3909287298855
4865.09148615,13425999999.9979,8640647.09414535,"r00084",8,10,"NO",410750.644391899,21.036235029984
5000.52876663347,13455999999.9959,8577234.82560055,"r00085",8,10,"NO",411209.293410017,20.8585626907225
5024.35959091493,13799999999.993,8525422.82958189,"r00086",8,10,"NO",416432.364830195,20.4725269926083
4962.62839985619,13497999999.9948,8585228.23663047,"r00087",8,10,"NO",411850.543950782,20.8454944705777
5030.00198087478,13787999999.9922,8878847.99782404,"r00088",8,10,"NO",416251.267902797,21.3305007875614
